,precision,recall,f1-score,support
0.0,0.9234972677595629,1.0,0.9602272727272728,507.0
1.0,0.8741258741258742,0.9633911368015414,0.9165902841429882,519.0
2.0,0.7447916666666666,0.807909604519774,0.7750677506775068,531.0
3.0,0.9564375605033882,0.9225023342670402,0.9391634980988595,1071.0
4.0,0.9398410896708286,0.8198019801980198,0.8757271285034373,1010.0
5.0,0.8566131025957973,0.6767578125,0.7561374795417349,1024.0
6.0,0.9122807017543859,0.9683426443202979,0.9394760614272809,537.0
7.0,0.78369384359401,0.9040307101727447,0.8395721925133689,521.0
8.0,0.6532258064516129,0.824847250509165,0.729072907290729,491.0
accuracy,0.8599259378521977,0.8599259378521977,0.8599259378521977,0.8599259378521977
macro avg,0.8493896570135696,0.8763981636987314,0.8590038416581309,6211.0
weighted avg,0.8673414689538749,0.8599259378521977,0.8595412011626863,6211.0
